Departure,Arrival,Age,Gender,TravelClass,Q1,Q2,Q3,Q4
DOH,AUH,18,M,Economy,3,4,2,1
DOH,AUH,66,M,Economy,0,4,2,3
CAI,AUH,36,M,Economy,5,4,4,3
CAI,AUH,35,F,Economy,7,1,4,3
BAH,AUH,66,M,Economy,3,3,2,2
BAH,AUH,30,M,First,3,0,7,1
BAH,AUH,60,M,Economy,3,2,2,4
DOH,AUH,38,M,Economy,3,1,4,3
BAH,AUH,30,F,Economy,6,7,1,2
CAI,AUH,30,M,Economy,3,3,4,1
BAH,AUH,54,F,Economy,3,2,2,5
CAI,AUH,31,F,Economy,1,2,2,1
DOH,AUH,69,F,Economy,6,7,1,3
BAH,AUH,23,F,Economy,1,7,1,3
DOH,AUH,59,F,Business,4,4,1,2
BAH,AUH,32,M,Economy,1,2,1,3
CAI,AUH,21,F,Economy,3,4,0,3
BAH,AUH,56,M,Economy,5,4,4,3
BAH,AUH,41,F,Economy,1,5,4,2
BAH,AUH,40,M,Economy,2,2,4,1
RUH,AUH,31,F,Economy,6,7,1,1
BAH,AUH,28,M,First,1,1,1,1
CAI,AUH,21,M,First,5,2,1,2
DOH,AUH,21,F,First,6,2,1,3
BAH,AUH,55,F,First,1,3,0,6
BAH,AUH,20,M,First,1,7,4,1
RUH,AUH,68,M,Business,1,4,1,2
BAH,AUH,46,M,First,3,6,0,3
CAI,AUH,50,M,Economy,3,3,4,3
BAH,AUH,30,F,Economy,1,1,4,3
BAH,AUH,32,M,Economy,3,2,1,7
CAI,AUH,29,F,Economy,1,2,4,2
RUH,AUH,69,F,Business,2,7,4,3
CAI,AUH,53,M,Economy,3,3,6,3
CAI,AUH,58,M,Economy,3,2,2,1
BAH,AUH,48,M,Economy,3,4,1,3
BAH,AUH,49,F,Economy,3,6,4,7
CAI,AUH,46,M,Business,2,2,7,2
BAH,AUH,57,F,Economy,3,4,0,1
BAH,AUH,69,F,Economy,1,7,7,7
RUH,AUH,61,F,Economy,3,7,6,7
RUH,AUH,19,F,Economy,6,2,6,2
CAI,AUH,67,M,Economy,2,1,2,1
DOH,AUH,57,M,Economy,3,1,1,3
BAH,AUH,45,M,Economy,3,6,4,3
DOH,AUH,56,F,Economy,3,2,4,1
CAI,AUH,23,F,Economy,1,4,1,7
DOH,AUH,41,M,Economy,2,7,6,3
BAH,AUH,57,F,Economy,5,3,4,2
BAH,AUH,58,M,Economy,5,2,2,1
CAI,AUH,59,F,Economy,1,2,2,3
BAH,AUH,42,M,Economy,7,4,2,2
DOH,AUH,23,F,Economy,3,2,4,4
CAI,AUH,40,M,Economy,6,4,3,1
BAH,AUH,44,F,First,1,1,7,3
DOH,AUH,56,F,Economy,0,6,1,3
RUH,AUH,62,M,Economy,5,2,1,3
CAI,AUH,40,F,Economy,2,1,6,3
BAH,AUH,42,M,Economy,3,1,3,2
BAH,AUH,47,F,Economy,4,1,2,6
BAH,AUH,36,M,Economy,0,2,2,3
CAI,AUH,38,M,Economy,0,2,7,3
BAH,AUH,33,F,Economy,3,3,4,3
CAI,AUH,66,F,Economy,3,4,2,2
CAI,AUH,41,M,Economy,3,2,0,3
BAH,AUH,53,M,Economy,0,4,2,0
BAH,AUH,20,M,Economy,5,4,4,1
BAH,AUH,58,F,Economy,0,4,0,3
RUH,AUH,56,F,Economy,0,3,1,2
RUH,AUH,32,F,Economy,5,7,4,3
BAH,AUH,29,M,Economy,1,2,2,7
DOH,AUH,35,F,Economy,1,2,6,3
RUH,AUH,27,M,Economy,1,4,0,1
CAI,AUH,55,M,Economy,1,1,1,1
BAH,AUH,18,F,Economy,1,2,0,5
BAH,AUH,51,M,Economy,1,1,4,3
CAI,AUH,49,F,Economy,3,4,6,3
DOH,AUH,36,M,Business,3,4,2,3
RUH,AUH,33,F,Economy,3,4,4,3
DOH,AUH,21,F,Economy,3,2,4,3
BAH,AUH,58,F,Economy,5,4,1,3
CAI,AUH,50,M,Economy,5,4,2,0
BAH,AUH,68,F,Business,5,7,1,3
CAI,AUH,34,M,Economy,0,4,1,3
CAI,AUH,65,M,Business,1,2,2,6
CAI,AUH,23,F,Economy,3,7,4,2
BAH,AUH,35,M,Economy,5,4,1,4
BAH,AUH,54,F,Economy,4,4,1,5
BAH,AUH,66,M,Economy,7,2,4,3
BAH,AUH,27,M,Business,5,2,4,1
BAH,AUH,51,F,Economy,1,3,1,5
BAH,AUH,47,M,Economy,3,1,4,5
CAI,AUH,38,M,Economy,1,4,4,2
BAH,AUH,41,M,First,2,2,4,1
RUH,AUH,20,M,Economy,7,0,0,3
BAH,AUH,45,M,Economy,2,7,4,7
BAH,AUH,38,M,Economy,1,1,6,3
CAI,AUH,39,F,Economy,5,4,1,2
BAH,AUH,54,M,Economy,7,3,2,3
BAH,AUH,60,F,Economy,0,1,1,3
DOH,AUH,24,F,Economy,1,1,4,5
BAH,AUH,64,M,Economy,7,0,0,3
RUH,AUH,26,F,First,5,7,4,3
BAH,AUH,69,M,First,1,2,1,0
DOH,AUH,54,M,Economy,1,2,1,3
DOH,AUH,47,M,Economy,3,6,0,3
CAI,AUH,36,F,Economy,4,4,4,2
CAI,AUH,54,M,Economy,0,4,1,3
BAH,AUH,40,M,Economy,3,2,4,7
BAH,AUH,54,M,Economy,1,7,6,2
RUH,AUH,54,M,Economy,7,3,7,1
CAI,AUH,29,F,Economy,3,7,4,7
CAI,AUH,31,M,First,1,4,2,3
